timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1617200382313,932,HTTP Request,200,OK,Thread Group 1-20,text,true,,13654,118,100,100,https://www.google.co.uk/,927,0,857
1617200382314,934,HTTP Request,200,OK,Thread Group 1-69,text,true,,13652,118,100,100,https://www.google.co.uk/,926,0,865
1617200382312,936,HTTP Request,200,OK,Thread Group 1-13,text,true,,13633,118,100,100,https://www.google.co.uk/,928,0,859
1617200382313,935,HTTP Request,200,OK,Thread Group 1-54,text,true,,13684,118,100,100,https://www.google.co.uk/,927,0,858
1617200382313,935,HTTP Request,200,OK,Thread Group 1-73,text,true,,13597,118,100,100,https://www.google.co.uk/,928,0,867
1617200382313,950,HTTP Request,200,OK,Thread Group 1-17,text,true,,13624,118,95,95,https://www.google.co.uk/,948,0,897
1617200382312,952,HTTP Request,200,OK,Thread Group 1-49,text,true,,13651,118,95,95,https://www.google.co.uk/,950,0,902
1617200382313,951,HTTP Request,200,OK,Thread Group 1-5,text,true,,13633,118,93,93,https://www.google.co.uk/,950,0,898
1617200382313,970,HTTP Request,200,OK,Thread Group 1-95,text,true,,13708,118,92,92,https://www.google.co.uk/,969,0,913
1617200382313,976,HTTP Request,200,OK,Thread Group 1-61,text,true,,13591,118,91,91,https://www.google.co.uk/,975,0,929
1617200382313,979,HTTP Request,200,OK,Thread Group 1-6,text,true,,13424,118,90,90,https://www.google.co.uk/,978,0,923
1617200382312,986,HTTP Request,200,OK,Thread Group 1-78,text,true,,14477,118,89,89,https://www.google.co.uk/,980,0,926
1617200382313,987,HTTP Request,200,OK,Thread Group 1-89,text,true,,13678,118,88,88,https://www.google.co.uk/,984,0,935
1617200382313,989,HTTP Request,200,OK,Thread Group 1-37,text,true,,13394,118,87,87,https://www.google.co.uk/,988,0,939
1617200382313,990,HTTP Request,200,OK,Thread Group 1-33,text,true,,13670,118,86,86,https://www.google.co.uk/,989,0,938
1617200382313,991,HTTP Request,200,OK,Thread Group 1-2,text,true,,13373,118,85,85,https://www.google.co.uk/,987,0,929
1617200382313,991,HTTP Request,200,OK,Thread Group 1-77,text,true,,13684,118,85,85,https://www.google.co.uk/,990,0,938
1617200382312,1003,HTTP Request,200,OK,Thread Group 1-53,text,true,,13710,118,83,83,https://www.google.co.uk/,992,0,939
1617200382312,1025,HTTP Request,200,OK,Thread Group 1-14,text,true,,13636,118,82,82,https://www.google.co.uk/,1008,0,946
1617200382313,1028,HTTP Request,200,OK,Thread Group 1-72,text,true,,13671,118,81,81,https://www.google.co.uk/,1008,0,960
1617200382312,1029,HTTP Request,200,OK,Thread Group 1-8,text,true,,13650,118,81,81,https://www.google.co.uk/,1024,0,963
1617200382312,1030,HTTP Request,200,OK,Thread Group 1-76,text,true,,13411,118,79,79,https://www.google.co.uk/,1008,0,957
1617200382313,1031,HTTP Request,200,OK,Thread Group 1-44,text,true,,13638,118,78,78,https://www.google.co.uk/,1002,0,944
1617200382311,1035,HTTP Request,200,OK,Thread Group 1-24,text,true,,13623,118,77,77,https://www.google.co.uk/,1008,0,908
1617200382313,1033,HTTP Request,200,OK,Thread Group 1-65,text,true,,13622,118,77,77,https://www.google.co.uk/,1032,0,967
1617200382314,1032,HTTP Request,200,OK,Thread Group 1-32,text,true,,13661,118,77,77,https://www.google.co.uk/,1031,0,971
1617200382313,1038,HTTP Request,200,OK,Thread Group 1-3,text,true,,13662,118,74,74,https://www.google.co.uk/,1037,0,968
1617200382316,1039,HTTP Request,200,OK,Thread Group 1-90,text,true,,13684,118,73,73,https://www.google.co.uk/,1038,0,895
1617200382311,1045,HTTP Request,200,OK,Thread Group 1-36,text,true,,13623,118,73,73,https://www.google.co.uk/,1043,0,980
1617200382311,1047,HTTP Request,200,OK,Thread Group 1-88,text,true,,13407,118,71,71,https://www.google.co.uk/,1046,0,988
1617200382316,1039,HTTP Request,200,OK,Thread Group 1-98,text,true,,13401,118,70,70,https://www.google.co.uk/,1038,0,971
1617200382312,1043,HTTP Request,200,OK,Thread Group 1-4,text,true,,13429,118,69,69,https://www.google.co.uk/,1042,0,978
1617200382313,1050,HTTP Request,200,OK,Thread Group 1-21,text,true,,13658,118,68,68,https://www.google.co.uk/,1030,0,950
1617200382313,1052,HTTP Request,200,OK,Thread Group 1-86,text,true,,13592,118,67,67,https://www.google.co.uk/,1031,0,944
1617200382313,1054,HTTP Request,200,OK,Thread Group 1-79,text,true,,13611,118,66,66,https://www.google.co.uk/,1053,0,990
1617200382312,1056,HTTP Request,200,OK,Thread Group 1-67,text,true,,13635,118,66,66,https://www.google.co.uk/,1055,0,987
1617200382313,1060,HTTP Request,200,OK,Thread Group 1-1,text,true,,13633,118,64,64,https://www.google.co.uk/,1058,0,994
1617200382316,1061,HTTP Request,200,OK,Thread Group 1-87,text,true,,13705,118,63,63,https://www.google.co.uk/,1057,0,996
1617200382313,1065,HTTP Request,200,OK,Thread Group 1-12,text,true,,14479,118,63,63,https://www.google.co.uk/,1045,0,983
1617200382313,1066,HTTP Request,200,OK,Thread Group 1-58,text,true,,13397,118,61,61,https://www.google.co.uk/,1044,0,983
1617200382313,1067,HTTP Request,200,OK,Thread Group 1-40,text,true,,13462,118,61,61,https://www.google.co.uk/,1031,0,947
1617200382311,1070,HTTP Request,200,OK,Thread Group 1-16,text,true,,13410,118,59,59,https://www.google.co.uk/,1068,0,979
1617200382312,1069,HTTP Request,200,OK,Thread Group 1-71,text,true,,13638,118,59,59,https://www.google.co.uk/,1068,0,997
1617200382313,1070,HTTP Request,200,OK,Thread Group 1-99,text,true,,13653,118,57,57,https://www.google.co.uk/,1069,0,1013
1617200382313,1072,HTTP Request,200,OK,Thread Group 1-81,text,true,,13666,118,56,56,https://www.google.co.uk/,1071,0,1019
1617200382313,1077,HTTP Request,200,OK,Thread Group 1-23,text,true,,13642,118,55,55,https://www.google.co.uk/,1072,0,1022
1617200382316,1078,HTTP Request,200,OK,Thread Group 1-57,text,true,,13656,118,54,54,https://www.google.co.uk/,1075,0,1030
1617200382313,1088,HTTP Request,200,OK,Thread Group 1-62,text,true,,13371,118,53,53,https://www.google.co.uk/,1084,0,1040
1617200382313,1088,HTTP Request,200,OK,Thread Group 1-27,text,true,,13619,118,52,52,https://www.google.co.uk/,1088,0,1041
1617200382313,1090,HTTP Request,200,OK,Thread Group 1-56,text,true,,13387,118,51,51,https://www.google.co.uk/,1089,0,1041
1617200382313,1090,HTTP Request,200,OK,Thread Group 1-96,text,true,,13691,118,51,51,https://www.google.co.uk/,1089,0,1040
1617200382316,1097,HTTP Request,200,OK,Thread Group 1-9,text,true,,13654,118,49,49,https://www.google.co.uk/,1093,0,1045
1617200382312,1107,HTTP Request,200,OK,Thread Group 1-34,text,true,,13354,118,48,48,https://www.google.co.uk/,1098,0,1053
1617200382314,1105,HTTP Request,200,OK,Thread Group 1-94,text,true,,13659,118,48,48,https://www.google.co.uk/,1101,0,1047
1617200382314,1110,HTTP Request,200,OK,Thread Group 1-15,text,true,,13656,118,47,47,https://www.google.co.uk/,1109,0,1058
1617200382312,1112,HTTP Request,200,OK,Thread Group 1-92,text,true,,13665,118,47,47,https://www.google.co.uk/,1111,0,1053
1617200382313,1112,HTTP Request,200,OK,Thread Group 1-70,text,true,,13457,118,46,46,https://www.google.co.uk/,1111,0,1063
1617200382313,1115,HTTP Request,200,OK,Thread Group 1-93,text,true,,13692,118,44,44,https://www.google.co.uk/,1107,0,1051
1617200382313,1115,HTTP Request,200,OK,Thread Group 1-59,text,true,,14161,118,44,44,https://www.google.co.uk/,1108,0,1058
1617200382314,1115,HTTP Request,200,OK,Thread Group 1-45,text,true,,13609,118,42,42,https://www.google.co.uk/,1114,0,1064
1617200382312,1117,HTTP Request,200,OK,Thread Group 1-43,text,true,,13656,118,40,40,https://www.google.co.uk/,1115,0,1067
1617200382316,1114,HTTP Request,200,OK,Thread Group 1-100,text,true,,13675,118,39,39,https://www.google.co.uk/,1111,0,1011
1617200382312,1127,HTTP Request,200,OK,Thread Group 1-7,text,true,,13638,118,38,38,https://www.google.co.uk/,1123,0,1079
1617200382312,1130,HTTP Request,200,OK,Thread Group 1-46,text,true,,13668,118,37,37,https://www.google.co.uk/,1128,0,1077
1617200382312,1132,HTTP Request,200,OK,Thread Group 1-39,text,true,,13369,118,36,36,https://www.google.co.uk/,1131,0,1077
1617200382313,1140,HTTP Request,200,OK,Thread Group 1-82,text,true,,13640,118,35,35,https://www.google.co.uk/,1131,0,1080
1617200382315,1145,HTTP Request,200,OK,Thread Group 1-50,text,true,,13639,118,34,34,https://www.google.co.uk/,1138,0,1084
1617200382313,1147,HTTP Request,200,OK,Thread Group 1-22,text,true,,13435,118,34,34,https://www.google.co.uk/,1140,0,1089
1617200382313,1150,HTTP Request,200,OK,Thread Group 1-31,text,true,,13612,118,32,32,https://www.google.co.uk/,1150,0,1092
1617200382315,1150,HTTP Request,200,OK,Thread Group 1-30,text,true,,13396,118,31,31,https://www.google.co.uk/,1149,0,1091
1617200382313,1152,HTTP Request,200,OK,Thread Group 1-18,text,true,,13399,118,31,31,https://www.google.co.uk/,1149,0,1100
1617200382312,1158,HTTP Request,200,OK,Thread Group 1-66,text,true,,13630,118,29,29,https://www.google.co.uk/,1154,0,1107
1617200382312,1159,HTTP Request,200,OK,Thread Group 1-52,text,true,,13615,118,28,28,https://www.google.co.uk/,1157,0,1106
1617200382312,1161,HTTP Request,200,OK,Thread Group 1-64,text,true,,13637,118,27,27,https://www.google.co.uk/,1159,0,1104
1617200382313,1173,HTTP Request,200,OK,Thread Group 1-25,text,true,,13469,118,26,26,https://www.google.co.uk/,1160,0,1095
1617200382312,1184,HTTP Request,200,OK,Thread Group 1-38,text,true,,13656,118,25,25,https://www.google.co.uk/,1174,0,1114
1617200382313,1183,HTTP Request,200,OK,Thread Group 1-55,text,true,,13651,118,25,25,https://www.google.co.uk/,1178,0,1115
1617200382312,1185,HTTP Request,200,OK,Thread Group 1-35,text,true,,13452,118,23,23,https://www.google.co.uk/,1183,0,1116
1617200382315,1182,HTTP Request,200,OK,Thread Group 1-29,text,true,,13682,118,23,23,https://www.google.co.uk/,1180,0,1117
1617200382313,1184,HTTP Request,200,OK,Thread Group 1-68,text,true,,13378,118,23,23,https://www.google.co.uk/,1183,0,1122
1617200382314,1184,HTTP Request,200,OK,Thread Group 1-63,text,true,,13692,118,21,21,https://www.google.co.uk/,1184,0,1122
1617200382315,1184,HTTP Request,200,OK,Thread Group 1-10,text,true,,13654,118,21,21,https://www.google.co.uk/,1183,0,1124
1617200382313,1186,HTTP Request,200,OK,Thread Group 1-28,text,true,,13640,118,20,20,https://www.google.co.uk/,1185,0,1129
1617200382313,1187,HTTP Request,200,OK,Thread Group 1-11,text,true,,13637,118,18,18,https://www.google.co.uk/,1186,0,1132
1617200382313,1189,HTTP Request,200,OK,Thread Group 1-48,text,true,,13677,118,16,16,https://www.google.co.uk/,1188,0,1141
1617200382311,1192,HTTP Request,200,OK,Thread Group 1-26,text,true,,13677,118,15,15,https://www.google.co.uk/,1188,0,1123
1617200382312,1191,HTTP Request,200,OK,Thread Group 1-47,text,true,,13404,118,15,15,https://www.google.co.uk/,1190,0,1137
1617200382312,1199,HTTP Request,200,OK,Thread Group 1-91,text,true,,13636,118,13,13,https://www.google.co.uk/,1196,0,1153
1617200382315,1200,HTTP Request,200,OK,Thread Group 1-41,text,true,,13371,118,12,12,https://www.google.co.uk/,1198,0,1156
1617200382312,1204,HTTP Request,200,OK,Thread Group 1-74,text,true,,13653,118,11,11,https://www.google.co.uk/,1200,0,1158
1617200382315,1211,HTTP Request,200,OK,Thread Group 1-42,text,true,,13653,118,10,10,https://www.google.co.uk/,1203,0,1159
1617200382316,1212,HTTP Request,200,OK,Thread Group 1-60,text,true,,13678,118,9,9,https://www.google.co.uk/,1205,0,1152
1617200382313,1226,HTTP Request,200,OK,Thread Group 1-97,text,true,,13723,118,8,8,https://www.google.co.uk/,1221,0,1164
1617200382314,1225,HTTP Request,200,OK,Thread Group 1-80,text,true,,13694,118,8,8,https://www.google.co.uk/,1222,0,1163
1617200382315,1229,HTTP Request,200,OK,Thread Group 1-19,text,true,,13647,118,6,6,https://www.google.co.uk/,991,0,935
1617200382314,1231,HTTP Request,200,OK,Thread Group 1-84,text,true,,13726,118,5,5,https://www.google.co.uk/,1001,0,938
1617200382313,1237,HTTP Request,200,OK,Thread Group 1-83,text,true,,13698,118,4,4,https://www.google.co.uk/,1233,0,1182
1617200382316,1235,HTTP Request,200,OK,Thread Group 1-75,text,true,,13631,118,3,3,https://www.google.co.uk/,1234,0,1187
1617200382314,1278,HTTP Request,200,OK,Thread Group 1-85,text,true,,13383,118,2,2,https://www.google.co.uk/,1048,0,988
1617200382315,1356,HTTP Request,200,OK,Thread Group 1-51,text,true,,13646,118,1,1,https://www.google.co.uk/,1353,0,1311
